zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91948,c,2028,3,0,0,0,0
91948,c,2028,4,0,0,0,0
91948,r,2026,1,0,0,0,0
91948,r,2026,2,0,0,0,0
91948,r,2026,3,0,0,0,0
91948,r,2026,4,0,0,0,0
91948,r,2027,1,0,0,0,0
91948,r,2027,2,0,0,0,0
91948,r,2027,3,0,0,0,0
91948,r,2027,4,0,0,0,0
91948,r,2028,1,0,0,0,0
91948,r,2028,2,0,0,0,0
91948,r,2028,3,0,0,0,0
91948,r,2028,4,0,0,0,0
91950,c,2026,1,213677.81,203620.73,1333497.24,408332.98
91950,c,2026,2,157003.08,162958.63,1242352.24,334338.13
91950,c,2026,3,205698.91,207184.85,1805286.26,547878.34
91950,c,2026,4,202845.64,190599.57,1588886.7,441080.45
91950,c,2027,1,203832.41,193754.46,1361109.94,427973.95
91950,c,2027,2,163166.55,169493.67,1114460.43,389730.07
91950,c,2027,3,207409.7,203401.75,1826261.13,530866.48
91950,c,2027,4,190782.33,212142.84,1470268.16,459712.16
91950,c,2028,1,193955.88,197766.53,1426579.85,440953.26
91950,c,2028,2,169709.93,152045.43,1299100.22,348231.91
91950,c,2028,3,203622.5,205764.99,1769554.94,575823.84
91950,c,2028,4,212346.26,196305.29,1532373.86,442546.32
91950,r,2026,1,41756.87,38171.13,354245.64,104773.6
91950,r,2026,2,28001.79,34093.81,331967.5,91978.23
91950,r,2026,3,39156.67,36449.62,355848.01,114412.31
91950,r,2026,4,41509.31,38203.58,397131.05,107671.09
91950,r,2027,1,38209.27,39371.16,349245.35,117112.76
91950,r,2027,2,34123.77,33354.76,306594.1,98664.99
91950,r,2027,3,36477.46,36865.44,381374.36,113769.61
91950,r,2027,4,38236.38,40990.6,358903.64,119077.26
91950,r,2028,1,39410.5,38815.42,390375.86,116608.13
91950,r,2028,2,33384.07,30805.34,328883.31,101045.29
91950,r,2028,3,36893.6,39509.94,379232.05,100894.1
91950,r,2028,4,41025.79,37044.89,396924.21,121971.69
91962,c,2026,1,0,0,0,0
91962,c,2026,2,0,0,0,0
91962,c,2026,3,0,0,0,0
91962,c,2026,4,0,0,0,0
91962,c,2027,1,0,0,0,0
91962,c,2027,2,0,0,0,0
91962,c,2027,3,0,0,0,0
91962,c,2027,4,0,0,0,0
91962,c,2028,1,0,0,0,0
91962,c,2028,2,0,0,0,0
91962,c,2028,3,0,0,0,0
91962,c,2028,4,0,0,0,0
91962,r,2026,1,0,0,0,0
91962,r,2026,2,0,0,0,0
91962,r,2026,3,0,0,0,0
91962,r,2026,4,0,0,0,0
91962,r,2027,1,0,0,0,0
91962,r,2027,2,0,0,0,0
91962,r,2027,3,0,0,0,0
